stream,deposition,velocity_m_s,discharge_L_s,depth_m,Date,gpp_mean,gpp_sd,gpp_median,er_mean,er_sd,er_median,nep_mean,nep_sd,nep_median,pr_mean,pr_sd,pr_median,k_mean,k_sd,k_median,daily_light_mol_m2,daily_temp_C,gpp_g_m2_d,gpp_g_m2_d_sd,er_g_m2_d,er_g_m2_d_sd,nep_g_m2_d,nep_g_m2_d_sd,gpp_gC_m2_d,gpp_gC_m2_d_sd,er_gC_m2_d,er_gC_m2_d_sd,gpp_molC_m2_d,gpp_molC_m2_d_sd,er_molC_m2_d,er_molC_m2_d_sd,nep_molC_m2_d
RA,Active,0.045050995,241.8765843,1.506138192,20230829,3.41764441,0.228095835,3.406870402,16.89423763,1.074101461,16.82271489,-13.47659322,0.863683875,-13.42502393,0.202308909,0.004658236,0.202386912,17.06945995,1.086555243,17.01090475,8459.69403,25.70513889,5.147444774,0.343543848,25.44505652,1.617745232,-20.29761175,1.30082727,1.608512149,0.107353158,8.110611766,0.515656293,0.13393107,0.008938648,0.675321546,0.042935578,-0.541390476
RA,Active,0.045050995,241.8765843,1.506138192,20230830,4.883864456,0.385853637,4.874501416,21.88436836,1.730315924,21.8393228,-17.00050391,1.368509889,-16.94639277,0.223234507,0.005493173,0.223326573,21.31997826,1.692466483,21.24544504,5443.78234,26.03944444,7.355774785,0.5811489,32.96088301,2.606094899,-25.60510822,2.061165011,2.298587673,0.181601767,10.50628146,0.830692749,0.191389482,0.01512088,0.874794459,0.069166757,-0.683404978
RA,Active,0.045050995,241.8765843,1.506138192,20230831,9.314694849,0.887383116,9.362003513,35.16396767,3.265547526,35.4021782,-25.84927282,2.416885626,-26.03857471,0.26491185,0.006319706,0.264936152,34.81571248,3.208415949,35.08574111,6590.81252,26.08861111,14.02921766,1.336521603,52.9617947,4.918365849,-38.93257704,3.640163748,4.383955155,0.417646294,16.88157206,1.567729114,0.365025408,0.034774879,1.405626316,0.130535313,-1.040600908
RA,Active,0.045050995,241.8765843,1.506138192,20230901,0.027893617,0.033240621,0.017860081,4.265063135,1.850291765,3.7312202,-4.237169518,1.835627921,-3.706492064,0.006463688,0.006269772,0.004536652,5.389917108,2.657749715,4.594418021,2465.137252,29.05208333,0.042011642,0.050064969,6.423774481,2.786795094,-6.381762839,2.764709319,0.013128113,0.015644677,2.047578116,0.888290936,0.001093099,0.001302638,0.170489435,0.073962609,-0.169396337
RC,Active,0.170029309,376.2587666,1.052099005,20230811,1.772502922,0.044880898,1.773268176,9.32007265,0.216961841,9.318658557,-7.547569728,0.189468563,-7.548768503,0.190208291,0.00373106,0.190196767,6.364006767,0.155013605,6.362287976,41.42633241,24.00173611,1.864848561,0.047219148,9.805639164,0.228265337,-7.940790603,0.199339687,0.582741865,0.014755394,3.125547484,0.072759576,0.048521388,0.001228592,0.260245419,0.006058249,-0.211724032
RC,Active,0.170029309,376.2587666,1.052099005,20230812,1.644112165,0.060271305,1.644370114,6.996747615,0.25284198,6.991740206,-5.35263545,0.221973374,-5.347432484,0.235101889,0.007642831,0.235054979,4.342183616,0.173420889,4.340888995,17.8341467,24.74763889,1.729768773,0.06341138,7.361271206,0.266014795,-5.631502433,0.233537966,0.540531119,0.019815264,2.346405197,0.084792216,0.045006754,0.001649897,0.195370957,0.007060135,-0.150364203
RC,Active,0.170029309,376.2587666,1.052099005,20230813,2.043008557,0.038460823,2.042807125,9.297407096,0.189561354,9.303889313,-7.254398539,0.16349691,-7.259961958,0.219769264,0.003170167,0.219671261,5.723650375,0.123069341,5.726834435,30.52547543,24.84472222,2.149447271,0.040464593,9.781792757,0.199437312,-7.632345487,0.172014936,0.671675404,0.01264468,3.117946441,0.063570643,0.055926345,0.001052846,0.259612526,0.005293143,-0.203686181
RT,Non-active,0.352272727,2982.766288,1.649135043,20230803,0.40403927,0.064801387,0.40194285,79.2910821,6.470662547,78.9439242,-78.88704283,6.437382037,-78.56203418,0.005094965,0.000699336,0.005116898,28.07625734,2.287536886,27.95054141,295.2344978,26.98529167,0.666315319,0.106866239,130.7617021,10.67099636,-130.0953868,10.61611231,0.208215208,0.033394364,41.68029255,3.40138009,0.01733682,0.002780547,3.470465658,0.283212331,-3.453128838
RT,Non-active,0.352272727,2982.766288,1.649135043,20230804,0.088238211,0.044540027,0.085369002,108.0447773,2.749194659,108.73089,-107.9565391,2.744086481,-108.6352579,0.000815894,0.000409862,0.000789687,38.81258617,0.986666469,39.0575315,231.5206264,26.95261806,0.145516726,0.07345252,178.1804285,4.533793254,-178.0349118,4.525369177,0.045472158,0.022952994,56.79501158,1.4451466,0.003786191,0.001911157,4.728976818,0.120328609,-4.725190627
RT,Non-active,0.352272727,2982.766288,1.649135043,20230805,0.271830065,0.043728748,0.270818157,98.59589734,5.180621661,97.01246991,-98.32406727,5.158086376,-96.75315899,0.002752721,0.000388108,0.002745096,35.4640473,1.860257042,34.89444835,227.3166371,26.98734722,0.448284486,0.072114611,162.5979494,8.543544728,-162.149665,8.506381001,0.140083298,0.022534915,51.82809638,2.723254882,0.011663888,0.001876346,4.315411855,0.226748949,-4.303747967
SR,Active,0.049247606,5.174908934,0.167316439,20231009,0.027822951,0.027094198,0.019777192,2.379440504,1.21122754,2.056613838,-2.351617553,1.211369308,-2.028160294,0.014714227,0.016960815,0.009322541,0.655935875,0.529041543,0.523346483,1709.229671,26.06851389,0.004655237,0.004533305,0.398119512,0.202658279,-0.393464275,0.202681999,0.001454703,0.001416601,0.126900594,0.064597326,0.000121124,0.000117952,0.010566244,0.005378628,-0.01044512
SR,Active,0.049247606,5.174908934,0.167316439,20231010,0.497378047,0.136000747,0.491037423,3.699145705,3.350029112,2.808952,-3.201767658,3.278051417,-2.327116119,0.186864039,0.095905659,0.167395975,1.016612697,1.303823113,0.664545012,3736.44928,26.05513889,0.083219524,0.022755161,0.618927887,0.560514941,-0.535708363,0.54847189,0.026005061,0.007110703,0.197283264,0.178664138,0.002165284,0.000592065,0.016426583,0.014876281,-0.014261299
